지역,이름,세부내용,아이콘,경도,위도,방문여부,충전소명,급속충전가능여부,충전소경도,충전소위도
성산/우도,고등어쌈밥,,식당,126.920717,33.4494963,red,한국중부발전 제주화력본부사택,Y,126.5919256,33.52714324
성산/우도,목화휴게소,해풍에 말리고 맥반석에 구운 오징어(준치)에 시원한 캔맥 한잔 어떠신가요?,식당,126.9017207,33.4818042,blue,그루터기,Y,126.6001401,33.53301956
성산/우도,"풍원 (한치주물럭,한라산볶음밥)",,식당,126.9441293,33.5083391,red,투썸플레이스 제주노형DT점,Y,126.4740905,33.49130981
성산/우도,블랑로쉐,,카페,126.9579595,33.5156311,blue,중앙로상점가(국민은행서측),Y,126.5212534,33.5106719
성산/우도,하하호호 (마늘버거),무조건 마늘버거!,식당,126.9486077,33.5208759,red,모로왓제2공영주차장,Y,126.543795,33.51129125
성산/우도,안녕 육지사람,,카페,126.9572605,33.5150954,red,기아오토큐 화북대리점,Y,126.5490401,33.51185501
성산/우도,지미스,,카페,126.9678636,33.4977528,blue,CU제주대박점,Y,126.4029714,33.48340343
성산/우도,온오프,,카페,126.9615353,33.5129211,red,제주교도소 민원인 주차장,Y,126.514997,33.46278791
성산/우도,타코밤,,식당,126.9576666,33.5162706,blue,CU조천사거리점,Y,126.6400787,33.53766806
성산/우도,성산 스테이 호텔,,숙소,126.9159881,33.4380598,purple,램하우스,N,126.6731393,33.43692114
구좌/조천,제주돌문화공원,,관광지,126.6586582,33.4485653,blue,자연과사람들,Y,126.6610809,33.46047477
구좌/조천,에코랜드,,관광지,126.6674398,33.447037,blue,와흘을그리다,Y,126.6604226,33.46269452
구좌/조천,산굼부리,,관광지,126.6900058,33.4316207,red,서프라이즈테마파크(농업회사법인 우주),Y,126.6595953,33.46518789
구좌/조천,종달리 수국길,,관광지,126.9089127,33.5090531,blue,에코촌 유스호스텔,Y,126.703722,33.51690884
구좌/조천,하도리 철새도래지,,관광지,126.8919426,33.5038245,red,제주미니랜드,N,126.6749129,33.43425343
구좌/조천,제주해녀박물관,,관광지,126.863486,33.523525,blue,다희연(농업회사법인경덕),Y,126.7061311,33.48690575
구좌/조천,세화해수욕장,,관광지,126.8611117,33.5252938,green,거문오름꿈의숲,N,126.7021477,33.48630118
구좌/조천,평대해수욕장,,관광지,126.8410206,33.5337576,green,포레스트사파리,Y,126.7094861,33.46306444
구좌/조천,월정리해변,,관광지,126.7969362,33.555626,purple,선래왓절,Y,126.7086074,33.4581901
구좌/조천,월정리 투명카약,,관광지,126.7802471,33.5634623,red,조천리 새마을회,Y,126.63888,33.53698658
구좌/조천,김녕성세기해변,,관광지,126.759787,33.5582327,red,조천코아루,Y,126.6223818,33.51720331
구좌/조천,김녕요트투어,,관광지,126.7367983,33.55801,purple,눈뫼가름협동조합,N,126.6776373,33.48497761
구좌/조천,만장굴,,관광지,126.771481,33.528486,purple,농업회사법인주식회사블랙푸드,N,126.6995958,33.48496065
구좌/조천,비자림,,관광지,126.8064793,33.484272,blue,제주레포츠랜드,N,126.6387282,33.48232418
구좌/조천,안돌오름,입장료 1인 2000원,관광지,126.755269,33.4577559,green,제이디피모터스함덕점,N,126.6570896,33.53651541
구좌/조천,아부오름,,관광지,126.7772601,33.447607,purple,조천도서관,Y,126.6676186,33.53770537
구좌/조천,[폐쇄] 용눈이오름,자연휴식년제로 인해 입장불가,관광지,126.831477,33.4599676,purple,조천도서관,Y,126.6676186,33.53770537
구좌/조천,함덕서우봉해변,,관광지,126.6698513,33.5433163,purple,청우가든,N,126.6259057,33.53074511
구좌/조천,일몰전망대,,관광지,126.6436376,33.5531249,green,빅타이어조천점,N,126.6432839,33.53528271
구좌/조천,별방진,,관광지,126.8840271,33.5266056,blue,조천라오체,N,126.6369941,33.52968177
구좌/조천,종달리해수욕장,,관광지,126.898914,33.5129902,red,푸른열매작은도서관,Y,126.6318406,33.5345568
구좌/조천,고망난돌,,관광지,126.9064967,33.5103518,blue,사랑샘교회,N,126.6310514,33.52773841
구좌/조천,지미봉,,관광지,126.901947,33.4992833,red,함덕순복음교회,N,126.6584419,33.54087204
구좌/조천,말미오름,,관광지,126.887456,33.4771758,red,함덕카페H,N,126.6599676,33.52626322
구좌/조천,신촌덕인당 (보리빵),,카페,126.6188138,33.5318754,purple,함덕드라마빌리지,N,126.6692842,33.53796949
구좌/조천,쉬림프박스,,식당,126.8392897,33.536688,purple,함덕광명샤인빌,Y,126.6770228,33.53801877
구좌/조천,함덕골목 (내장탕),,식당,126.6618188,33.5438536,purple,귤빛체험농원,N,126.6738046,33.50392641
구좌/조천,친구테이블 (전복순대곱창버섯전골),,식당,126.6646534,33.54156,purple,달스테이,Y,126.4078127,33.45689467
구좌/조천,스타벅스 제주함덕점,,카페,126.6685165,33.5425075,purple,한솜카페,Y,126.4773866,33.47568654
구좌/조천,이스트포레스트 ★★★,제주도내 양식 BEST,식당,126.8988279,33.4958799,purple,뜨레모아3차,N,126.4787908,33.47475841
구좌/조천,톰톰카레,,식당,126.8373547,33.5373255,green,민형파인즈,N,126.4810183,33.47430614
구좌/조천,로타리식당,,식당,126.7847033,33.4712155,green,농업회사법인제우스,Y,126.5717487,33.45701393
구좌/조천,문개항아리 (해물라면),,식당,126.6440569,33.5534876,blue,엠제이벤처오름,N,126.5719587,33.4545623
